applicants_organisations_only, applicants_useme, cited_count, cpc_codes_useme, dois, extended_family_size, inventors_useme, ipc_codes, ipc_short, ipc_subclass, non_patent_citations, priority_country_codes, priority_country_name, priority_date, priority_numbers, priority_year, publication_country_code, publication_country_name, publication_date, publication_number, publication_year, simple_family_size, title, title_phrases, url
"","PAFFRATH DIETER","1","G01S13/003; G01S13/87; G01S13/9303; G01V3/17","","1","PAFFRATH DIETER","G01S13/00; G01S13/87; G01S13/93; G01V3/17","Direction Finding; Geophysics","G01S: Physics -> Measuring; Testing -> Radio Direction-Finding; Radio Navigation; Determining Distance Or Velocity By Use Of Radio Waves; Locating Or Presence-Detecting By Use Of The Reflection Or Reradiation Of Radio Waves; Analogous Arrangements Using Other Waves; G01V: Physics -> Measuring; Testing -> Geophysics; Gravitational Measurements; Detecting Masses Or Objects; Tags","","DE","Germany","20000926","DE 10047427 A","2000","DE","Germany","2002-4-11","DE 10047427 A1","2002","1","Arrangement For Monitoring Take-off And Landing Runways On Airports Has Remote Stereo Reconnaissance Sensor, Compares Two Sets Of Stereo Information, Outputs Warning If Large Difference","Airports; arrangement; Compares Two Sets; Landing Runways; Large Difference; Outputs Warning; Remote Stereo Reconnaissance Sensor; Stereo Information; Take-off","https://lens.org/119-179-041-768-947"
"DYNAMIT NOBEL AG","DYNAMIT NOBEL AG","0","B63G7/02; F42C14/04; F42C15/188; F42C15/40","","1","BOETTGER WOLFGANG; HAYE JOHANNES DE LA","B63G7/02; F42C14/04; F42C15/188; F42C15/40","Waterborne Vessels/Ships; Weapons","B63G: Performing Operations; Transporting -> Ships Or Other Waterborne Vessels; Related Equipment -> Offensive Or Defensive Arrangements On Vessels; Mine-Laying; Mine-Sweeping; Submarines; Aircraft Carriers; F42C: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Ammunition; Blasting -> Ammunition Fuzes; Arming Or Safety Means Therefor","","DE","Germany","20010127","DE 10103675 A","2001","DE","Germany","2002-8-29","DE 10161212 A1","2002","1","Controlled Detonation Charge Ignition For Underwater Drone, Involves Using Detonator On Rotor Pivotable From Safety To Ignition Position, Ignition Electronics Are Supplied Energy Via A Pyrotechnical Device","controlled Detonation Charge Ignition; Detonator; Energy Via; Ignition Electronics; Ignition Position; Pyrotechnical Device; Rotor Pivotable; Safety; Underwater Drone","https://lens.org/037-709-599-986-129"
"KRAUSS MAFFEI WEGMANN GMBH & C","KRAUSS MAFFEI WEGMANN GMBH & C","1","F41F3/052","","1","HELDMANN HEINRICH","F41F3/052","Weapons","F41F: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Weapons -> Apparatus For Launching Projectiles Or Missiles From Barrels, E.G. Cannons; Launchers For Rockets Or Torpedoes; Harpoon Guns","","DE","Germany","20020109","DE 10200427 A","2002","DE","Germany","2003-7-17","DE 10200427 A1","2003","1","Military Reconnaissance Drone Launcher Tube, Has Front Cover Ejected By Spring-powered Guide Rails","Front Cover; military Reconnaissance Drone Launcher Tube; Spring-powered Guide Rails","https://lens.org/155-838-178-189-681"
"KRAUSS MAFFEI WEGMANN GMBH & C","KRAUSS MAFFEI WEGMANN GMBH & C","0","F41F3/052","","1","HELDMANN HEINRICH","F41F3/052","Weapons","F41F: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Weapons -> Apparatus For Launching Projectiles Or Missiles From Barrels, E.G. Cannons; Launchers For Rockets Or Torpedoes; Harpoon Guns","","DE","Germany","20020109","DE 10200426 A","2002","DE","Germany","2003-7-17","DE 10200426 A1","2003","1","Launch Tube, For Military Drone, Has Holding Clamps For Drone Fins","Drone Fins; Holding Clamps; launch Tube; Military Drone","https://lens.org/197-654-842-994-716"
"LFK GMBH","LFK GMBH","7","B64C2201/021; B64C2201/042; B64C2201/102; B64C2201/121; B64C2201/127; B64C2201/146; B64C2201/165; B64C2201/201; B64C39/024; F42B15/105","","6","GLEICH PETER; MAIER FRANZ","B64C11/28; B64C27/22; B64C39/00; B64C9/36; F41G7/26; F42B10/14; F42B15/00","Aircraft; Weapons","B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters; F41G: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Weapons -> Weapon Sights; Aiming; F42B: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Ammunition; Blasting -> Explosive Charges, E.G. For Blasting; Fireworks; Ammunition","","DE","Germany","20041223","DE 102004061977 A","2004","DE","Germany","2006-7-6","DE 102004061977 A1","2006","6","Klein-flugkÃ¶rper","klein-flugkÃ¶rper","https://lens.org/005-220-674-337-117"
"CONTI TEMIC MICROELECTRONIC","CONTI TEMIC MICROELECTRONIC","4","G01M13/045; G01M17/0078","","1","FENDT GUENTER; GOERNIG THOMAS; WEICHENBERGER LOTHAR","B60R21/0136; G01M17/00; G01M17/007","Testing; Vehicles","B60R: Performing Operations; Transporting -> Vehicles In General -> Vehicles, Vehicle Fittings, Or Vehicle Parts, Not Otherwise Provided For; G01M: Physics -> Measuring; Testing -> Testing Static Or Dynamic Balance Of Machines Or Structures; Testing Of Structures Or Apparatus, Not Otherwise Provided For","","DE","Germany","20041009","DE 102004049380 A","2004","DE","Germany","2006-4-13","DE 102004049380 A1","2006","1","Vehicle Sensor Has Processing Characteristic For Electrical Signals Produced Through Sensing Of Different Oscillations And Which Can Be Adjusted Automatically In Dependence Upon Control Signal","Control Signal; Dependence; Different Oscillations; Electrical Signals; Processing Characteristic; Sensing; vehicle Sensor","https://lens.org/086-302-085-493-223"
"SCHUBERTH WERK GMBH","SCHUBERTH WERK GMBH","0","A42B1/068; A42B3/166; A61F11/06","","2","JANKE GERD; REITEBUCH SEBASTIAN","A42B3/16; A61F11/06","Headwear; Medical","A42B: Human Necessities -> Headwear -> Hats; Head Coverings; A61F: Human Necessities -> Medical Or Veterinary Science; Hygiene -> Filters Implantable Into Blood Vessels; Prostheses; Devices Providing Patency To, Or Preventing Collapsing Of, Tubular Structures Of The Body, E.G. Stents; Orthopaedic, Nursing Or Contraceptive Devices; Fomentation; Treatment Or Protection Of Eyes Or Ears; Bandages, Dressings Or Absorbent Pads; First-Aid Kits","","DE","Germany","20050510","DE 102005021451 A","2005","DE","Germany","2006-11-16","DE 102005021451 A1","2006","2","Hearing Protecting Ear Cover, Comprises Non-interacting Outer And Inner Shell","hearing Protecting Ear Cover; Inner Shell; Non-interacting","https://lens.org/196-788-507-281-855"
"DOLCH STEFAN","DOLCH STEFAN","13","A63H27/12; B64C2201/024; B64C2201/027; B64C2201/042; B64C2201/108; B64C2201/123; B64C2201/127; B64C2201/146; B64C2201/165; B64C27/08; B64C39/024","","1","","A63H27/133; B64C27/00","Aircraft; Sports","A63H: Human Necessities -> Sports; Games; Amusements -> Toys, E.G. Tops, Dolls, Hoops, Building Blocks; B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters","","DE","Germany","20050401","DE 102005014949 A","2005","DE","Germany","2006-10-5","DE 102005014949 A1","2006","1","Multi-rotor Helicopter E.g. Reconnaissance Drone For Urban Areas, Has Support Frame Divided Into At Least Two Groups Of Structures Mechanically Connected Together As Such That Electrical Connection Between Groups Is Possible","Connected; Electrical Connection; Groups; Least Two Groups; multi-rotor Helicopter; Possible; Reconnaissance Drone; Structures; Support Frame; Urban Areas","https://lens.org/027-450-684-376-55X"
"","BACHELIER VOLKER","2","B64C2201/027; B64C2201/108; B64C27/10","","1","BACHELIER VOLKER","B64C27/10","Aircraft","B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters","","DE","Germany","20051206","DE 102005058805 A","2005","DE","Germany","2007-6-14","DE 102005058805 A1","2007","1","Drive System For Vertical Starting And Horizontal Flight Of Aircraft E.g. Drone, Has Tilting And Drive Shaft Over Center Of Aircraft To Propel Rotor Systems Of Aircraft In Opposing Directions And Change Tilting Angle Of Each Rotor System","aircraft; Angle; Center; Change; Drive Shaft; drive System; Drone; Horizontal Flight; Opposing Directions; Rotor System; Rotor Systems; Vertical Starting","https://lens.org/035-356-442-001-295"
"DIEHL GMBH & CO","DIEHL GMBH & CO","1","G01N1/24","","2","GROS MICHAEL","G01N1/22; G01N1/24","Measuring","G01N: Physics -> Measuring; Testing -> Investigating Or Analysing Materials By Determining Their Chemical Or Physical Properties","","DE","Germany","20070614","DE 102007027326 A","2007","DE","Germany","2008-12-18","DE 102007027326 A1","2008","2","Gas Collecting Device For Collecting Gaseous Sample For Analysis Of Sample, Has Gas Collecting Module With Diaphragm Pump That Is Effectively Connected With Controller And Power Supply E.g. Battery, Of Flying Apparatus I.e. Micro Drone","Analysis; battery; Collecting Gaseous Sample; Controller; Diaphragm; Flying Apparatus I.e; gas Collecting Device; Gas Collecting Module; micro Drone; Power Supply; Sample","https://lens.org/013-409-802-702-684"
"DIEHL GMBH & CO","DIEHL GMBH & CO","1","G01S5/0263; G01S5/04; G01S5/16; G08B13/1645; G08B13/19697; G08B13/2494","","2","KENST ROLAND","F41H11/00; G08B13/00","Signalling; Weapons","F41H: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Weapons -> Armour; Armoured Turrets; Armoured Or Armed Vehicles; Means Of Attack Or Defence, E.G. Camouflage, In General; G08B: Physics -> Signalling -> Signalling Or Calling Systems; Order Telegraphs; Alarm Systems","","DE","Germany","20071222","DE 102007062603 A","2007","DE","Germany","2009-7-2","DE 102007062603 A1","2009","2","Intrusion Vehicle E.g. Drone, Detecting Method For E.g. Military Area, Involves Determining Whether Signals Received From Omni-directional Sensor Devices Of Two Different Types Correlate With Respect To Place Of Origin","Drone; intrusion Vehicle; method; Military Area; Omni-directional Sensor Devices; Origin; Signals; Two Different Types Correlate","https://lens.org/172-772-905-645-733"
"","WIGGERICH BURKHARD","9","A63H27/12; B64C2201/027; B64C2201/042; B64C2201/123; B64C2201/127; B64C2201/145; B64C39/028","","1","WIGGERICH BURKHARD","B64C27/08","Aircraft","B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters","","DE","Germany","20090718","DE 102009033821 A","2009","DE","Germany","2011-1-20","DE 102009033821 A1","2011","1","Aircraft I.e. Flight Drone, Has Support Arm Structure Coupled With Hull Such That Support Arm Structure Is Movable Relative To Hull For Condition And/or Position Regulation Of Aircraft, Where Hull Is Stabilized In Perpendicular Position","aircraft; aircraft I.e; Condition; flight Drone; Hull; Movable Relative; Perpendicular Position; Position Regulation; Support Arm Structure","https://lens.org/180-916-338-995-197"
"EADS (various locations)","EADS (various locations)","0","F41H13/0081","","2","HIEBL MANFRED","F41H13/00","Weapons","F41H: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Weapons -> Armour; Armoured Turrets; Armoured Or Armed Vehicles; Means Of Attack Or Defence, E.G. Camouflage, In General","","DE","Germany","20101014","DE 102010048545 A","2010","DE","Germany","2012-4-19","DE 102010048545 A1","2012","2","Acoustic Weapon I.e. Helicopter Drone, For Mobile, Non-lethal Fighting Against Persons, Has Weapon Control Device Designed So That Device Is Activated As Weapon When Actual Target Distance Is Equal To Or Larger Than Preset Minimum Distance","acoustic Weapon I.e; Actual Target Distance; Device; Equal; helicopter Drone; Mobile; Non-lethal Fighting; Persons; Preset Minimum Distance; Weapon; Weapon Control Device","https://lens.org/140-492-612-141-251"
"","TRUOEL RAINER","0","F41H11/02; G21D1/00; Y02E30/40","","1","TRUOEL RAINER","F41H11/02; G21C9/00","Nuclear Reactors; Weapons","F41H: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Weapons -> Armour; Armoured Turrets; Armoured Or Armed Vehicles; Means Of Attack Or Defence, E.G. Camouflage, In General; G21C: Physics -> Nuclear Physics; Nuclear Engineering -> Nuclear Reactors","","DE","Germany","20110329","DE 102011015474 A","2011","DE","Germany","2012-10-4","DE 102011015474 A1","2012","1","Device For Protecting Nuclear Power Plant Against Falling Or Tumbling Or Exploding Or Damaging Object, Has Anti-aircraft Guns Or Anti-aircraft Missiles Or Flying Object Which Are Installed To Prevent Plant Falling Or Exploding Or Damaging","Anti-aircraft Guns; Anti-aircraft Missiles; Damaging; Damaging Object; Device; Falling; Flying; Plant Falling; Protecting Nuclear Power Plant; Tumbling","https://lens.org/087-069-925-313-108"
"","HEINSCHER INGO","0","B63G8/08; B63H21/18; Y02T70/5209; Y02T70/5227; Y02T90/46","","1","HEINSCHER INGO","B63G8/08; B63H21/18; B63H21/20","Waterborne Vessels/Ships","B63G: Performing Operations; Transporting -> Ships Or Other Waterborne Vessels; Related Equipment -> Offensive Or Defensive Arrangements On Vessels; Mine-Laying; Mine-Sweeping; Submarines; Aircraft Carriers; B63H: Performing Operations; Transporting -> Ships Or Other Waterborne Vessels; Related Equipment -> Marine Propulsion Or Steering","Widom-Larsen Theorie der Schwachen Interaktionskraft sowie verschiedene Experimente, unter anderem Celani et al. 2012 und Zawodny/NASA 2011/2012","DE","Germany","20120820","DE 102012016526 A","2012","DE","Germany","2014-2-20","DE 102012016526 A1","2014","1","Underwater Vehicle, Such As Submarine, Torpedo Or Underwater Drone For Civilian Or Military Use, Has Low Energy Nuclear Reactor, Which Provides Vast Propulsion And Ship Operating Energy","Civilian; Low Energy Nuclear Reactor; Military Use; Ship Operating Energy; Submarine; Torpedo; Underwater Drone; underwater Vehicle; Vast Propulsion","https://lens.org/033-652-784-302-067"
"SIEMENS AG","SIEMENS AG","0","G01B21/20; G01F23/00; G01F23/22; G01N22/00","10.1109/igarss.2004.1370483","1","RATHGEB ANDREAS; WIEBKING LEIF","B65G65/28; G01B21/20; G01C11/00; G01F23/22; G01N22/00; G01N33/22; G01S13/88; G01S19/14","Conveying/Packing; Direction Finding; Measuring","B65G: Performing Operations; Transporting -> Conveying; Packing; Storing; Handling Thin Or Filamentary Material -> Transport Or Storage Devices, E.G. Conveyors For Loading Or Tipping, Shop Conveyor Systems Or Pneumatic Tube Conveyors; G01B: Physics -> Measuring; Testing -> Measuring Length, Thickness Or Similar Linear Dimensions; Measuring Angles; Measuring Areas; Measuring Irregularities Of Surfaces Or Contours; G01C: Physics -> Measuring; Testing -> Measuring Distances, Levels Or Bearings; Surveying; Navigation; Gyroscopic Instruments; Photogrammetry Or Videogrammetry; G01F: Physics -> Measuring; Testing -> Measuring Volume, Volume Flow, Mass Flow, Or Liquid Level; Metering By Volume; G01N: Physics -> Measuring; Testing -> Investigating Or Analysing Materials By Determining Their Chemical Or Physical Properties; G01S: Physics -> Measuring; Testing -> Radio Direction-Finding; Radio Navigation; Determining Distance Or Velocity By Use Of Radio Waves; Locating Or Presence-Detecting By Use Of The Reflection Or Reradiation Of Radio Waves; Analogous Arrangements Using Other Waves","ARCHER, F: Introduction, overview, and status of the Microwave Autonomous Copter System (MACS). In: Geoscience and Remote Sensing Symposium, 2004. IGARSS '04. Proceedings. 2004 IEEE International, 20-24 Sept. 2004, S. 3574-3576; archiviert durch URL: http://web.archive.org/web/20120324092754/http://www.lucieer.net/research/index.html am 24.3.2012; LUCIEER ARKO: The TerraLuma project: Unmanned aerial vehicle (UAV) remote sensing; ZHANG W. et. al: Multi-Source Remote Sensing Technology using in the Service of Coal Resources Exploration and Coal Industry Informatization Construction. In: The International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences, Vol. XXXVII., 2008, Part B7., S. 1325-1330. http://www.isprs.org/proceedings/XXXVII/congress/7_pdf/7_WG-VII-7/05.pdf [abgerufen am 28.02.2013","DE","Germany","20120912","DE 102012216162 A","2012","DE","Germany","2013-10-24","DE 102012216162 A1","2013","1","Bulk Monitoring Device, Particularly For Monitoring Fuel Stored In Bulk Dump, Has Control Device And Drone That Is Provided With A Bulk Quality Measurement Unit For Continuously Determining The Bulk Quality","bulk; Bulk Dump; Bulk Quality; Bulk Quality Measurement Unit; Control Device; Device; Fuel","https://lens.org/136-023-827-031-301"
"FRAUNHOFER GES FORSCHUNG","FRAUNHOFER GES FORSCHUNG","0","B64C2201/027; B64C2201/104; B64C2201/108; B64C2211/00; B64C27/20; B64C39/024","","1","ESCHMANN CHRISTIAN","B64C27/22","Aircraft","B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters","","DE","Germany","20130111","DE 102013000409 A","2013","DE","Germany","2014-7-17","DE 102013000409 A1","2014","1","Flying Platform For Military Purposes As Strategic Drones, Has Mechanical- Or Electrical Interface, Through Which Drive- And Control Modules Are Available Together For Forming Flight Platform In Direct- Or Indirect Manner","Available; Control Modules; Direct-; Drive-; Electrical Interface; Flight Platform; flying Platform; Indirect Manner; Mechanical-; Military Purposes; Strategic Drones","https://lens.org/073-636-152-340-98X"
"","BOHR INGO","0","F41G7/32","","2","BOHR INGO","F41G7/32","Weapons","F41G: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Weapons -> Weapon Sights; Aiming","","DE","Germany","20030527","DE 10323947 A","2003","DE","Germany","2005-12-30","DE 10323947 A1","2004","2","Method For Realizing, Simultaneous Reference Pulse Receiver For Wire Steered Aircraft (drone) With Steering Wire Interface, Consisting Of Reference-pulse-receiver And Command Transmitter, With Special Signal-measuring-bridge","Aircraft (drone); Command Transmitter; method; Reference-pulse-receiver; Simultaneous Reference Pulse Receiver; Special Signal-measuring-bridge; Steering Wire Interface; Wire","https://lens.org/137-295-044-939-458"
"EADS (various locations)","EADS (various locations)","1","G05D1/107; H05K1/18","","1","FRANKE ANDRE","G05D1/10; H05K1/18","Control Systems; Printed Circuits","G05D: Physics -> Controlling; Regulating -> Systems For Controlling Or Regulating Non-Electric Variables; H05K: Electricity -> Electric Techniques Not Otherwise Provided For -> Printed Circuits; Casings Or Constructional Details Of Electric Apparatus; Manufacture Of Assemblages Of Electrical Components","AP40"" Prospekt der Firma UAV Flight Systems, Inc.von Internetseite: http://www.uavlight.com/ datasheets/ap40ds.pdf; AP50"" Prospekt der Firma UAV Flight Systems, Inc.von Internetseite: http://www.uavlight.com/ datasheets/ap50ds.pdf; MP2028g Miniature UAV Autopilot"" von Internet- seite: http://www.micropilot.com/products/MP2028 g.pdf; Vaglienti, Bill Hoag, Ross: ""A higly integrated UAV avionics systems"" von Internetseite: http://www.cloudcaptech.com/piccolo/PiccoloRev1. 01.pdf","DE","Germany","20030709","DE 10330873 A","2003","DE","Germany","2005-2-3","DE 10330873 A1","2005","1","Flight Control System, Especially For A Missile Or Drone Has Attitude And Navigation Sensors Mounted On The Same Circuit Board As A Data Processing And Control Unit","Attitude; Control Unit; Data Processing; Drone; flight Control System; Missile; Navigation Sensors; Same Circuit Board","https://lens.org/173-117-304-720-975"
